Resource name,Council,Focus Area,Type,Year,Document name or external link,"If the document is already posted on an existing council website, provide the link here:"
CIO Council Handbook,CIOC,Information Technology,Playbook,2022,https://www.cio.gov/cio-handbook/,https://www.cio.gov/cio-handbook/
Zero Trust Data Security Guide,CIOC,Cybersecurity,Guidance,2024,https://www.cio.gov/zero-trust-data-security-guide-may2025/,https://www.cio.gov/zero-trust-data-security-guide-may2025/
Zero Trust Data Security Guide Appendices,CIOC,Cybersecurity,Guidance,2024,https://www.cio.gov/zero-trust-data-security-guide-may2025/,https://www.cio.gov/zero-trust-data-security-guide-may2025/
CIO Council Charter,CIOC,Information Technology,Guidance,2020,CIOC-Charter-Dec-2020.pdf,https://www.cio.gov/policies-and-priorities/
