Resource name,Council,Focus Area,Type,Year,Document name or external link,"If the document is already posted on an existing council website, provide the link here:"
Federal Real Property Asset Management (E.O. 13327),FRPC,Responsibilities,Executive Order,2004,https://www.federalregister.gov/documents/2004/02/06/04-2773/federal-real-property-asset-management,
Implementation of the Utilizing Space Efficiently and Improving Technologies Act (M-25-25),FRPC,Utilization,Memorandum,2025,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-25-Implementation-of-the-Utilizing-Space-Efficiently-and-Improving-Technologies-Act.pdf,
FRPP Summary Report Library,FRPC,Data Quality,Website,,https://www.gsa.gov/policy-regulations/policy/real-property-policy-division-overview/data-collection-and-reports/frpp-summary-report-library,
FRPP Data Dictionary,FRPC,Data Quality,Website,,https://www.gsa.gov/policy-regulations/policy/real-property-policy-division-overview/asset-management/federal-real-property-council/frpc-guidance-library,
Public Buildings Reform Board Website,FRPC,Utilization,Website,,https://www.pbrb.gov/,
Business Standards Website,FRPC,Data Quality,Website,,https://ussm.gsa.gov/fibf/,
Map of Federal Real Property,FRPC,Data Quality,Website,,https://frppmap.gsa.gov/frppmap/,
